bond,curve_node,shock_bps,base_yield,shocked_yield,base_price_eur,shocked_price_eur,duration_pnl_eur,duration_convexity_pnl_eur,exact_pnl_eur,duration_error_eur,duration_convexity_error_eur
2Y Treasury,2Y,-200,0.0415,0.021500000000000002,99714.93935337398,103602.66086767563,3793.8986594383027,3885.896798815127,3887.721514301651,-93.82285486334831,-1.8247154865239281
2Y Treasury,2Y,-100,0.0415,0.0315,99714.93935337398,101635.11434555292,1896.9493297191514,1919.9488645633573,1920.174992178945,-23.22566245979374,-0.22612761558775674
2Y Treasury,2Y,-50,0.0415,0.036500000000000005,99714.93935337398,100669.19204672449,948.4746648595757,954.2245485706273,954.2526933505142,-5.778028490938482,-0.02814477988681574
2Y Treasury,2Y,-25,0.0415,0.039,99714.93935337398,100190.61766730025,474.23733242978784,475.67480335755073,475.67831392626977,-1.4409814964819248,-0.0035105687190366552
2Y Treasury,2Y,25,0.0415,0.044000000000000004,99714.93935337398,99242.13599627267,-474.23733242978784,-472.799861502025,-472.8033571013075,-1.4339753284803578,0.0034955992824734494
2Y Treasury,2Y,50,0.0415,0.0465,99714.93935337398,98772.18666695872,-948.4746648595757,-942.7247811485242,-942.7526864152605,-5.721978444315141,0.027905266736297563
2Y Treasury,2Y,100,0.0415,0.051500000000000004,99714.93935337398,97840.76726325936,-1896.9493297191514,-1873.9497948749456,-1874.1720901146182,-22.77723960453318,0.22229523967257592
2Y Treasury,2Y,200,0.0415,0.0615,99714.93935337398,96011.27544639783,-3793.8986594383027,-3701.9005200614793,-3703.663906976144,-90.23475246215867,1.7633869146648067
5Y Treasury,5Y,-200,0.0432,0.023200000000000002,99688.22521439951,109061.85410088797,8891.603593606122,9355.189884457046,9373.628886488455,-482.0252928823338,-18.439002031409473
5Y Treasury,5Y,-100,0.0432,0.0332,99688.22521439951,104252.19181146844,4445.801796803061,4561.698369515792,4563.966597068924,-118.16480026586305,-2.26822755313151
5Y Treasury,5Y,-50,0.0432,0.038200000000000005,99688.22521439951,101940.3815408029,2222.9008984015304,2251.8750415797135,2252.1563264033903,-29.255428001859855,-0.28128482367674223
5Y Treasury,5Y,-25,0.0432,0.0407,99688.22521439951,100806.95422120467,1111.4504492007652,1118.693984995311,1118.7290068051516,-7.278557604386378,-0.035021809840600326
5Y Treasury,5Y,25,0.0432,0.045700000000000005,99688.22521439951,98583.98355394663,-1111.4504492007652,-1104.2069134062197,-1104.2416604528844,-7.208788747880817,0.034747046664733716
5Y Treasury,5Y,50,0.0432,0.0482,99688.22521439951,97494.02157070005,-2222.9008984015304,-2193.9267552233478,-2194.2036436994676,-28.697254702062764,0.2768884761198933
5Y Treasury,5Y,100,0.0432,0.053200000000000004,99688.22521439951,95356.12211306357,-4445.801796803061,-4329.90522409033,-4332.103101335946,-113.6986954671147,2.1978772456159277
5Y Treasury,5Y,200,0.0432,0.0632,99688.22521439951,91242.89507473727,-8891.603593606122,-8428.0173027552,-8445.330139662241,-446.27345394388067,17.312836907041856
10Y Treasury,10Y,-200,0.0463,0.0263,98968.76952745552,116349.28805073875,15766.897953139285,17270.68071755336,17380.51852328323,-1613.6205701439449,-109.8378057298687
10Y Treasury,10Y,-100,0.0463,0.0363,98968.76952745552,107241.5112390419,7883.448976569643,8259.394667673161,8272.74171158638,-389.2927350167365,-13.34704391321793
10Y Treasury,10Y,-50,0.0463,0.0413,98968.76952745552,103006.12573138402,3941.7244882848213,4035.7109110607007,4037.3562039285025,-95.63171564368122,-1.6452928678017997
10Y Treasury,10Y,-25,0.0463,0.0438,98968.76952745552,100963.33262094957,1970.8622441424106,1994.3588498363806,1994.5630934940564,-23.70084935164573,-0.20424365767576091
10Y Treasury,10Y,25,0.0463,0.0488,98968.76952745552,97021.20243245,-1970.8622441424106,-1947.365638448441,-1947.567095005521,-23.295149136889677,0.20145655708006416
10Y Treasury,10Y,50,0.0463,0.0513,98968.76952745552,95119.430766582,-3941.7244882848213,-3847.738065508942,-3849.338760873521,-92.3857274113002,1.6006953645792237
10Y Treasury,10Y,100,0.0463,0.0563,98968.76952745552,91448.63300738807,-7883.448976569643,-7507.503285466125,-7520.136520067448,-363.31245650219444,12.633234601323238
10Y Treasury,10Y,200,0.0463,0.0663,98968.76952745552,84607.25345226521,-15766.897953139285,-14263.115188725213,-14361.516075190302,-1405.381877948983,98.40088646508957
