risk_factor,cumulative_pnl_eur,loss_contribution_eur,share_of_total_loss,window_days,window_start,window_end
Equity index,-12658.19767273621,12658.19767273621,0.35944320244550354,1,2020-03-18,2020-03-18
Government bond proxy,-16923.710541243432,16923.710541243432,0.4805670500238232,1,2020-03-18,2020-03-18
EUR/USD,-2645.9210950094293,2645.9210950094293,0.07513378890082706,1,2020-03-18,2020-03-18
Gold,-2988.298264477457,2988.298264477457,0.08485595862984606,1,2020-03-18,2020-03-18
Equity index,-29063.791411348488,29063.791411348488,0.41470376943957094,5,2020-03-12,2020-03-18
Government bond proxy,-22420.91453372308,22420.91453372308,0.3199182666782708,5,2020-03-12,2020-03-18
EUR/USD,-5365.984408099834,5365.984408099834,0.07656585231079174,5,2020-03-12,2020-03-18
Gold,-13232.567994408078,13232.567994408078,0.1888121115713665,5,2020-03-12,2020-03-18
Equity index,-78771.14632159435,78771.14632159435,0.9357582763229285,20,2020-02-20,2020-03-18
Government bond proxy,1307.8679238980876,-1307.8679238980876,-0.01553675795358351,20,2020-02-20,2020-03-18
EUR/USD,4120.166456882535,-4120.166456882535,-0.04894533140492087,20,2020-02-20,2020-03-18
Gold,-10835.835031609913,10835.835031609913,0.12872381303557584,20,2020-02-20,2020-03-18
