scenario,bond,curve_node,shock_bps,base_yield,shocked_yield,duration_pnl_eur,duration_convexity_pnl_eur,exact_pnl_eur
Parallel +100 bp,2Y Treasury,2Y,100.0,0.0415,0.051500000000000004,-1896.9493297191514,-1873.9497948749456,-1874.1720901146182
Parallel +100 bp,5Y Treasury,5Y,100.0,0.0432,0.053200000000000004,-4445.801796803061,-4329.90522409033,-4332.103101335946
Parallel +100 bp,10Y Treasury,10Y,100.0,0.0463,0.0563,-7883.448976569643,-7507.503285466125,-7520.136520067448
Parallel -100 bp,2Y Treasury,2Y,-100.0,0.0415,0.0315,1896.9493297191514,1919.9488645633573,1920.174992178945
Parallel -100 bp,5Y Treasury,5Y,-100.0,0.0432,0.0332,4445.801796803061,4561.698369515792,4563.966597068924
Parallel -100 bp,10Y Treasury,10Y,-100.0,0.0463,0.0363,7883.448976569643,8259.394667673161,8272.74171158638
Bear steepener,2Y Treasury,2Y,50.0,0.0415,0.0465,-948.4746648595757,-942.7247811485242,-942.7526864152605
Bear steepener,5Y Treasury,5Y,75.0,0.0432,0.0507,-3334.351347602296,-3269.159525451385,-3270.090377200526
Bear steepener,10Y Treasury,10Y,125.0,0.0463,0.058800000000000005,-9854.311220712054,-9266.896078362808,-9291.404932869118
Bear flattener,2Y Treasury,2Y,125.0,0.0415,0.054000000000000006,-2371.1866621489394,-2335.2498889548674,-2335.6831400225783
Bear flattener,5Y Treasury,5Y,75.0,0.0432,0.0507,-3334.351347602296,-3269.159525451385,-3270.090377200526
Bear flattener,10Y Treasury,10Y,50.0,0.0463,0.0513,-3941.7244882848213,-3847.738065508942,-3849.338760873521
Bull steepener,2Y Treasury,2Y,-125.0,0.0415,0.029,2371.1866621489394,2407.1234353430114,2407.5660430991556
Bull steepener,5Y Treasury,5Y,-75.0,0.0432,0.0357,3334.351347602296,3399.543169753207,3400.4962791645376
Bull steepener,10Y Treasury,10Y,-50.0,0.0463,0.0413,3941.7244882848213,4035.7109110607007,4037.3562039285025
Bull flattener,2Y Treasury,2Y,-50.0,0.0415,0.036500000000000005,948.4746648595757,954.2245485706273,954.2526933505142
Bull flattener,5Y Treasury,5Y,-75.0,0.0432,0.0357,3334.351347602296,3399.543169753207,3400.4962791645376
Bull flattener,10Y Treasury,10Y,-125.0,0.0463,0.0338,9854.311220712054,10441.726363061302,10467.978372666796
Short-end shock,2Y Treasury,2Y,150.0,0.0415,0.0565,-2845.423994578727,-2793.6750411792636,-2794.4221165870986
Short-end shock,5Y Treasury,5Y,50.0,0.0432,0.0482,-2222.9008984015304,-2193.9267552233478,-2194.2036436994676
Short-end shock,10Y Treasury,10Y,0.0,0.0463,0.0463,-0.0,0.0,0.0
Long-end shock,2Y Treasury,2Y,0.0,0.0415,0.0415,-0.0,0.0,0.0
Long-end shock,5Y Treasury,5Y,50.0,0.0432,0.0482,-2222.9008984015304,-2193.9267552233478,-2194.2036436994676
Long-end shock,10Y Treasury,10Y,150.0,0.0463,0.0613,-11825.173464854463,-10979.295659871548,-11021.364321211688
